StockRefID,ProductRefId,SalesmanId,Shape,Carat,Color,Clarity,Cut,Polish,Symmetry,Flourescence,CertifiedBy,CertifiedID,GirdleFrom,GirdleTo,Discount,Price,PricePerCarat,LaserInscription,GirdlePercentage,PavilionAngle,CrownAngle,SecondaryPrice,IsSpecial,IsCalRapPrice
ABCDEFSS,0,0,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGJ73263ED,thick,thick,0.0,2314.0,2654.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGK73563ED,thick,thick,0.0,7500.0,7500.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,0,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGJ73453ED,thick,thick,0.0,2314.0,2654.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGK76453ED,thick,thick,0.0,7500.0,7500.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,0,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGJ77563ED,thick,thick,0.0,2314.0,2654.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGK76ED,thick,thick,0.0,7500.0,7500.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,0,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGJ53ED,thick,thick,0.0,2314.0,2654.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGK73567ED,thick,thick,0.0,7500.0,7500.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,0,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGJ735675D,thick,thick,0.0,2314.0,2654.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGK5674ED,thick,thick,0.0,7500.0,7500.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,0,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGJ45663ED,thick,thick,0.0,2314.0,2654.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGK2343ED,thick,thick,0.0,7500.0,7500.0,false,0.0,0.0,0.0,0.0,false,false
ABCDEFSS,0,0,round,1.0,d,vs1,ex,ex,ex,none,gia,SGSDGJ73263ED,thick,thick,0.0,2314.0,2654.0,false,0.0,0.0,0.0,0.0,false,false
